domain,org_name,proposed_am,master_match,match_type,reason
tvsmotor.com,TVS Motor Company,Kirandeep Kaur,TVS Group,subset,master tokens ['tvs'] ⊆ org tokens
0572cfa6-f60c-42e9-b356-5e402b03c8b9,Murugappa Strategic Partnerships,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
2c0cf7fe-e2ee-4c08-b499-91762b5404a8,Cholamandalam Securities,Sudeshana Jain,Murugappa Group,subsidiary,"""cholamandalam"" → Murugappa Group"
2c817e70-5104-4186-b3f4-3276e2f7dae9,Cholamandalam Home Loans,Sudeshana Jain,Murugappa Group,subsidiary,"""cholamandalam"" → Murugappa Group"
2f2b483f-a8e0-4684-9d04-4a2f90576474,Coromandel Agri Retail,Sudeshana Jain,Murugappa Group,subsidiary,"""coromandel"" → Murugappa Group"
34ced64a-9fc8-48a8-b795-fd024084623e,EID Parry Sugar,Sudeshana Jain,Murugappa Group,subsidiary,"""eid parry"" → Murugappa Group"
49b051d6-5df5-4f47-9173-c430ba576262,Coromandel International,Sudeshana Jain,Murugappa Group,subsidiary,"""coromandel"" → Murugappa Group"
4b79dfcc-a1c9-4544-8781-857a8607e911,Murugappa Membranes,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
6a2928b8-f5b2-4610-ae16-1460d2293310,Cholamandalam Investment and Finance,Sudeshana Jain,Murugappa Group,subsidiary,"""cholamandalam"" → Murugappa Group"
7421301a-2ae3-403c-9ea3-3a5f20a49a6f,Murugappa Group Finance,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
77d15ca3-282b-49ac-a0ce-6f6ad7c993f8,EID Parry,Sudeshana Jain,Murugappa Group,subsidiary,"""eid parry"" → Murugappa Group"
8b74c4a6-0dbe-4c30-bfe7-135f2dca5406,Tube Investments of India,Sudeshana Jain,Murugappa Group,subsidiary,"""tube investments"" → Murugappa Group"
92b76988-5795-452a-be43-08a1ab07df00,Rhodius Abrasives,Sudeshana Jain,Murugappa Group,subsidiary,"""rhodius abrasives"" → Murugappa Group"
9cfe10b9-5662-4444-9598-eeec01f32a44,Murugappa Sustainability,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
9f1a7c97-9cd2-4bf4-96ef-1f5e2e3a0077,Murugappa Agritech,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
a2ccd9e6-e5bd-4643-8630-fd42c5c078fa,Shanthi Gears,Sudeshana Jain,Murugappa Group,subsidiary,"""shanthi gears"" → Murugappa Group"
a480959e-9afc-4c31-aede-329199b87e28,Cholamandalam Housing Finance,Sudeshana Jain,Murugappa Group,subsidiary,"""cholamandalam"" → Murugappa Group"
a7a8a7f3-3c45-48ea-b311-019ec39702b1,Murugappa Chairman's Office,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
aa84d93f-2fe4-4bef-8139-130bfebc587b,Tube Investments Auto Division,Sudeshana Jain,Murugappa Group,subsidiary,"""tube investments"" → Murugappa Group"
b59dfef5-7fa8-4de7-b393-57e543c4429a,Murugappa Innovation Hub,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
ba51173c-a84f-4247-bfa7-c44f4c47f3f5,Cholamandalam MS General Insurance,Sudeshana Jain,Murugappa Group,subsidiary,"""cholamandalam"" → Murugappa Group"
coromandel.com,coromandel.com,Sudeshana Jain,Murugappa Group,subsidiary,"""coromandel"" → Murugappa Group"
d8e2332b-a4ac-4e3e-ab01-3f7153b896bb,Pluss Advanced Technologies,Sudeshana Jain,Murugappa Group,subsidiary,"""pluss advanced"" → Murugappa Group"
da7c600a-b838-4f08-919f-9e18fd39ac24,Carborundum Polymers,Sudeshana Jain,Murugappa Group,subsidiary,"""carborundum"" → Murugappa Group"
ea152c9c-d313-434a-b6c3-d02fde09dc3d,Tube Investments Rail Division,Sudeshana Jain,Murugappa Group,subsidiary,"""tube investments"" → Murugappa Group"
ec4b938a-476d-4ca5-99b4-69a223c13fd0,NACL Industries,Sudeshana Jain,Murugappa Group,subsidiary,"""nacl industries"" → Murugappa Group"
ecc9623c-e001-4293-9789-7e8ac56076cc,Carborundum Universal,Sudeshana Jain,Murugappa Group,subsidiary,"""carborundum"" → Murugappa Group"
edd5ab43-811c-434d-bd7f-02fc700b47b9,Murugappa Corporate,Sudeshana Jain,Murugappa Group,subsidiary,"""murugappa"" → Murugappa Group"
global.tdk.com,global.tdk.com,Sudeshana Jain,TDK,subset,master tokens ['tdk'] ⊆ org tokens
